rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2017.03.31 현재,"16,712,868,726",제 26 기,2016.03.31 현재,"13,426,668,881",제 25 기,2015.03.31 현재,"16,069,077,218",1,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2017.03.31 현재,"36,994,034,971",제 26 기,2016.03.31 현재,"44,319,720,315",제 25 기,2015.03.31 현재,"51,290,894,478",3,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2017.03.31 현재,"53,706,903,697",제 26 기,2016.03.31 현재,"57,746,389,196",제 25 기,2015.03.31 현재,"67,359,971,696",5,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2017.03.31 현재,"15,356,228,050",제 26 기,2016.03.31 현재,"16,138,353,743",제 25 기,2015.03.31 현재,"22,116,830,938",7,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2017.03.31 현재,"9,171,008,866",제 26 기,2016.03.31 현재,"7,004,276,082",제 25 기,2015.03.31 현재,"7,303,332,302",9,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2017.03.31 현재,"24,527,236,916",제 26 기,2016.03.31 현재,"23,142,629,825",제 25 기,2015.03.31 현재,"29,420,163,240",11,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2017.03.31 현재,"20,987,069,000",제 26 기,2016.03.31 현재,"20,446,134,000",제 25 기,2015.03.31 현재,"20,446,134,000",13,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2017.03.31 현재,"-30,929,575,224",제 26 기,2016.03.31 현재,"-22,125,765,141",제 25 기,2015.03.31 현재,"-18,722,327,325",17,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2017.03.31 현재,"29,179,666,781",제 26 기,2016.03.31 현재,"34,603,759,371",제 25 기,2015.03.31 현재,"37,939,808,456",21,KRW
20170629000470,11011,2017,00378363,060310,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2016.04.01 ~ 2017.03.31,"26,486,287,918",제 26 기,2015.04.01 ~ 2016.03.31,"23,742,421,655",제 25 기,2014.04.01 ~ 2015.03.31,"23,210,541,648",23,KRW
