__time,process,LOG_LEVEL,pid,Log,Origin,host
1641773821000,CRON,Info,13899,pam_unix(cron:session): session closed for user root,Jan 10 00:17:01 datanode1 CRON[13899]: pam_unix(cron:session): session closed for user root,datanode1
1641773821000,CRON,Info,13899,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 00:17:01 datanode1 CRON[13899]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641773821000,CRON,Info,3639743,pam_unix(cron:session): session closed for user root,Jan 10 00:17:01 datanode3 CRON[3639743]: pam_unix(cron:session): session closed for user root,datanode3
1641773821000,CRON,Info,3639743,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 00:17:01 datanode3 CRON[3639743]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641773821000,CRON,Info,3803,pam_unix(cron:session): session closed for user root,Jan 10 00:17:01 namenode2 CRON[3803]: pam_unix(cron:session): session closed for user root,namenode2
1641773821000,CRON,Info,3803,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 00:17:01 namenode2 CRON[3803]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641777421000,CRON,Info,1160,pam_unix(cron:session): session closed for user root,Jan 10 01:17:01 datanode1 CRON[1160]: pam_unix(cron:session): session closed for user root,datanode1
1641777421000,CRON,Info,1160,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 01:17:01 datanode1 CRON[1160]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641777421000,CRON,Info,2256,pam_unix(cron:session): session closed for user root,Jan 10 01:17:01 namenode2 CRON[2256]: pam_unix(cron:session): session closed for user root,namenode2
1641777421000,CRON,Info,2256,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 01:17:01 namenode2 CRON[2256]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641777421000,CRON,Info,3702211,pam_unix(cron:session): session closed for user root,Jan 10 01:17:01 datanode3 CRON[3702211]: pam_unix(cron:session): session closed for user root,datanode3
1641777421000,CRON,Info,3702211,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 01:17:01 datanode3 CRON[3702211]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641781021000,CRON,Info,21068,pam_unix(cron:session): session closed for user root,Jan 10 02:17:01 datanode1 CRON[21068]: pam_unix(cron:session): session closed for user root,datanode1
1641781021000,CRON,Info,21068,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 02:17:01 datanode1 CRON[21068]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641781021000,CRON,Info,3764560,pam_unix(cron:session): session closed for user root,Jan 10 02:17:01 datanode3 CRON[3764560]: pam_unix(cron:session): session closed for user root,datanode3
1641781021000,CRON,Info,3764560,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 02:17:01 datanode3 CRON[3764560]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641781021000,CRON,Info,521,pam_unix(cron:session): session closed for user root,Jan 10 02:17:01 namenode2 CRON[521]: pam_unix(cron:session): session closed for user root,namenode2
1641781021000,CRON,Info,521,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 02:17:01 namenode2 CRON[521]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641784201000,CRON,Info,3819672,pam_unix(cron:session): session closed for user root,Jan 10 03:10:01 datanode3 CRON[3819672]: pam_unix(cron:session): session closed for user root,datanode3
1641784201000,CRON,Info,3819672,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 03:10:01 datanode3 CRON[3819672]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641784621000,CRON,Info,31480,pam_unix(cron:session): session closed for user root,Jan 10 03:17:01 namenode2 CRON[31480]: pam_unix(cron:session): session closed for user root,namenode2
1641784621000,CRON,Info,31480,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 03:17:01 namenode2 CRON[31480]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641784621000,CRON,Info,3826937,pam_unix(cron:session): session closed for user root,Jan 10 03:17:01 datanode3 CRON[3826937]: pam_unix(cron:session): session closed for user root,datanode3
1641784621000,CRON,Info,3826937,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 03:17:01 datanode3 CRON[3826937]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641784621000,CRON,Info,8704,pam_unix(cron:session): session closed for user root,Jan 10 03:17:01 datanode1 CRON[8704]: pam_unix(cron:session): session closed for user root,datanode1
1641784621000,CRON,Info,8704,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 03:17:01 datanode1 CRON[8704]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641788221000,CRON,Info,28441,pam_unix(cron:session): session closed for user root,Jan 10 04:17:01 datanode1 CRON[28441]: pam_unix(cron:session): session closed for user root,datanode1
1641788221000,CRON,Info,28441,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 04:17:01 datanode1 CRON[28441]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641788221000,CRON,Info,30035,pam_unix(cron:session): session closed for user root,Jan 10 04:17:01 namenode2 CRON[30035]: pam_unix(cron:session): session closed for user root,namenode2
1641788221000,CRON,Info,30035,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 04:17:01 namenode2 CRON[30035]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641788221000,CRON,Info,3889223,pam_unix(cron:session): session closed for user root,Jan 10 04:17:01 datanode3 CRON[3889223]: pam_unix(cron:session): session closed for user root,datanode3
1641788221000,CRON,Info,3889223,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 04:17:01 datanode3 CRON[3889223]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641791821000,CRON,Info,15767,pam_unix(cron:session): session closed for user root,Jan 10 05:17:01 datanode1 CRON[15767]: pam_unix(cron:session): session closed for user root,datanode1
1641791821000,CRON,Info,15767,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 05:17:01 datanode1 CRON[15767]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641791821000,CRON,Info,28245,pam_unix(cron:session): session closed for user root,Jan 10 05:17:01 namenode2 CRON[28245]: pam_unix(cron:session): session closed for user root,namenode2
1641791821000,CRON,Info,28245,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 05:17:01 namenode2 CRON[28245]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641791821000,CRON,Info,3951577,pam_unix(cron:session): session closed for user root,Jan 10 05:17:01 datanode3 CRON[3951577]: pam_unix(cron:session): session closed for user root,datanode3
1641791821000,CRON,Info,3951577,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 05:17:01 datanode3 CRON[3951577]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641795421000,CRON,Info,26622,pam_unix(cron:session): session closed for user root,Jan 10 06:17:01 namenode2 CRON[26622]: pam_unix(cron:session): session closed for user root,namenode2
1641795421000,CRON,Info,26622,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:17:01 namenode2 CRON[26622]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641795421000,CRON,Info,3549,pam_unix(cron:session): session closed for user root,Jan 10 06:17:01 datanode1 CRON[3549]: pam_unix(cron:session): session closed for user root,datanode1
1641795421000,CRON,Info,3549,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:17:01 datanode1 CRON[3549]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641795421000,CRON,Info,4015383,pam_unix(cron:session): session closed for user root,Jan 10 06:17:01 datanode3 CRON[4015383]: pam_unix(cron:session): session closed for user root,datanode3
1641795421000,CRON,Info,4015383,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:17:01 datanode3 CRON[4015383]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641795901000,CRON,Info,10683,pam_unix(cron:session): session closed for user root,Jan 10 06:25:01 datanode1 CRON[10683]: pam_unix(cron:session): session closed for user root,datanode1
1641795901000,CRON,Info,10683,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:25:01 datanode1 CRON[10683]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641795901000,CRON,Info,2752,pam_unix(cron:session): session closed for user root,Jan 10 06:25:01 namenode2 CRON[2752]: pam_unix(cron:session): session closed for user root,namenode2
1641795901000,CRON,Info,2752,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:25:01 namenode2 CRON[2752]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641795901000,CRON,Info,4023763,pam_unix(cron:session): session closed for user root,Jan 10 06:25:01 datanode3 CRON[4023763]: pam_unix(cron:session): session closed for user root,datanode3
1641795901000,CRON,Info,4023763,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 06:25:01 datanode3 CRON[4023763]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641799021000,CRON,Info,23625,pam_unix(cron:session): session closed for user root,Jan 10 07:17:01 datanode1 CRON[23625]: pam_unix(cron:session): session closed for user root,datanode1
1641799021000,CRON,Info,23625,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:17:01 datanode1 CRON[23625]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641799021000,CRON,Info,25053,pam_unix(cron:session): session closed for user root,Jan 10 07:17:01 namenode2 CRON[25053]: pam_unix(cron:session): session closed for user root,namenode2
1641799021000,CRON,Info,25053,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:17:01 namenode2 CRON[25053]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641799021000,CRON,Info,4077712,pam_unix(cron:session): session closed for user root,Jan 10 07:17:01 datanode3 CRON[4077712]: pam_unix(cron:session): session closed for user root,datanode3
1641799021000,CRON,Info,4077712,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:17:01 datanode3 CRON[4077712]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641799801000,CRON,Info,2477,pam_unix(cron:session): session closed for user root,Jan 10 07:30:01 datanode1 CRON[2477]: pam_unix(cron:session): session closed for user root,datanode1
1641799801000,CRON,Info,2477,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:30:01 datanode1 CRON[2477]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641799801000,CRON,Info,4091166,pam_unix(cron:session): session closed for user root,Jan 10 07:30:01 datanode3 CRON[4091166]: pam_unix(cron:session): session closed for user root,datanode3
1641799801000,CRON,Info,4091166,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:30:01 datanode3 CRON[4091166]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641799801000,CRON,Info,7247,pam_unix(cron:session): session closed for user root,Jan 10 07:30:01 namenode2 CRON[7247]: pam_unix(cron:session): session closed for user root,namenode2
1641799801000,CRON,Info,7247,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 07:30:01 namenode2 CRON[7247]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641802621000,CRON,Info,11123,pam_unix(cron:session): session closed for user root,Jan 10 08:17:01 datanode1 CRON[11123]: pam_unix(cron:session): session closed for user root,datanode1
1641802621000,CRON,Info,11123,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 08:17:01 datanode1 CRON[11123]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641802621000,CRON,Info,24136,pam_unix(cron:session): session closed for user root,Jan 10 08:17:01 namenode2 CRON[24136]: pam_unix(cron:session): session closed for user root,namenode2
1641802621000,CRON,Info,24136,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 08:17:01 namenode2 CRON[24136]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641802621000,CRON,Info,4140121,pam_unix(cron:session): session closed for user root,Jan 10 08:17:01 datanode3 CRON[4140121]: pam_unix(cron:session): session closed for user root,datanode3
1641802621000,CRON,Info,4140121,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 08:17:01 datanode3 CRON[4140121]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641803401000,CRON,Info,4153648,pam_unix(cron:session): session closed for user root,Jan 10 08:30:01 datanode3 CRON[4153648]: pam_unix(cron:session): session closed for user root,datanode3
1641803401000,CRON,Info,4153648,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 08:30:01 datanode3 CRON[4153648]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641806221000,CRON,Info,22598,pam_unix(cron:session): session closed for user root,Jan 10 09:17:01 namenode2 CRON[22598]: pam_unix(cron:session): session closed for user root,namenode2
1641806221000,CRON,Info,22598,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 09:17:01 namenode2 CRON[22598]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641806221000,CRON,Info,30870,pam_unix(cron:session): session closed for user root,Jan 10 09:17:01 datanode1 CRON[30870]: pam_unix(cron:session): session closed for user root,datanode1
1641806221000,CRON,Info,30870,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 09:17:01 datanode1 CRON[30870]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641806221000,CRON,Info,9077,pam_unix(cron:session): session closed for user root,Jan 10 09:17:01 datanode3 CRON[9077]: pam_unix(cron:session): session closed for user root,datanode3
1641806221000,CRON,Info,9077,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 09:17:01 datanode3 CRON[9077]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641807001000,CRON,Info,22604,pam_unix(cron:session): session closed for user root,Jan 10 09:30:01 datanode3 CRON[22604]: pam_unix(cron:session): session closed for user root,datanode3
1641807001000,CRON,Info,22604,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 09:30:01 datanode3 CRON[22604]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641809821000,CRON,Info,18447,pam_unix(cron:session): session closed for user root,Jan 10 10:17:01 datanode1 CRON[18447]: pam_unix(cron:session): session closed for user root,datanode1
1641809821000,CRON,Info,18447,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 10:17:01 datanode1 CRON[18447]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641809821000,CRON,Info,21131,pam_unix(cron:session): session closed for user root,Jan 10 10:17:01 namenode2 CRON[21131]: pam_unix(cron:session): session closed for user root,namenode2
1641809821000,CRON,Info,21131,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 10:17:01 namenode2 CRON[21131]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641809821000,CRON,Info,71706,pam_unix(cron:session): session closed for user root,Jan 10 10:17:01 datanode3 CRON[71706]: pam_unix(cron:session): session closed for user root,datanode3
1641809821000,CRON,Info,71706,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 10:17:01 datanode3 CRON[71706]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641809941000,CRON,Info,20164,pam_unix(cron:session): session closed for user root,Jan 10 10:19:01 datanode1 CRON[20164]: pam_unix(cron:session): session closed for user root,datanode1
1641809941000,CRON,Info,20164,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 10:19:01 datanode1 CRON[20164]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
