,티커,종목명
0,060310,3S
1,095570,AJ네트웍스
2,006840,AK홀딩스
3,054620,APS홀딩스
4,265520,AP시스템
5,211270,AP위성
6,027410,BGF
7,282330,BGF리테일
8,032790,BNGT
9,138930,BNK금융지주
10,001460,BYC
11,001465,BYC우
12,013720,CBI
13,001040,CJ
14,079160,CJ CGV
15,035760,CJ ENM
16,311690,CJ 바이오사이언스
17,00104K,CJ4우(전환)
18,000120,CJ대한통운
19,011150,CJ씨푸드
20,011155,CJ씨푸드1우
21,001045,CJ우
22,097950,CJ제일제당
23,097955,CJ제일제당 우
24,051500,CJ프레시웨이
25,058820,CMG제약
26,023460,CNH
27,056730,CNT85
28,065770,CS
29,083660,CSA 코스믹
30,000590,CS홀딩스
31,012030,DB
32,404950,DB금융스팩10호
33,367340,DB금융스팩8호
34,367360,DB금융스팩9호
35,016610,DB금융투자
36,005830,DB손해보험
37,000990,DB하이텍
38,000995,DB하이텍1우
39,139130,DGB금융지주
40,001530,DI동일
41,000210,DL
42,001880,DL건설
43,000215,DL우
44,375500,DL이앤씨
45,37550L,DL이앤씨2우(전환)
46,37550K,DL이앤씨우
47,068790,DMS
48,007340,DN오토모티브
49,004840,DRB동일
50,241520,DSC인베스트먼트
51,155660,DSR
52,069730,DSR제강
53,017940,E1
54,245620,EDGC
55,037370,EG
56,278990,EMB
57,365550,ESR켄달스퀘어리츠
58,050120,ES큐브
59,084180,EV수성
60,383220,F&F
61,007700,F&F홀딩스
62,214270,FSN
63,130500,GH신소재
64,114090,GKL
65,900290,GRT
66,078930,GS
67,083450,GST
68,006360,GS건설
69,001250,GS글로벌
70,007070,GS리테일
71,078935,GS우
72,297890,HB솔루션
73,078150,HB테크놀러지
74,012630,HDC
75,039570,HDC랩스
76,089470,HDC현대EP
77,294870,HDC현대산업개발
78,267250,HD현대
79,097230,HJ중공업
80,195940,HK이노엔
81,028300,HLB
82,003580,HLB글로벌
83,343090,HLB사이언스
84,067630,HLB생명과학
85,047920,HLB제약
86,115450,HLB테라퓨틱스
87,011200,HMM
88,403870,HPSP
89,036640,HRS
90,082740,HSD엔진
91,335870,IBKS제12호스팩
92,351340,IBKS제13호스팩
93,388790,IBKS제16호스팩
94,405350,IBKS제17호스팩
95,424760,IBKS제18호스팩
96,426550,IBKS제19호스팩
97,003560,IHQ
98,095340,ISC
99,099520,ITX-AI
100,175330,JB금융지주
101,950170,JTC
102,234080,JW생명과학
103,067290,JW신약
104,001060,JW중외제약
105,001067,JW중외제약2우B
106,001065,JW중외제약우
107,096760,JW홀딩스
108,035900,JYP Ent.
109,318000,KBG
110,024840,KBI메탈
111,105560,KB금융
112,024120,KB오토시스
113,002380,KCC
114,021320,KCC건설
115,344820,KCC글라스
116,036670,KCI
117,009070,KCTC
118,009440,KC그린홀딩스
119,112190,KC산업
120,119650,KC코트렐
121,044180,KD
122,092220,KEC
123,151860,KG ETS
124,046440,KG모빌리언스
125,016380,KG스틸
126,035600,KG이니시스
127,001390,KG케미칼
128,226360,KH 건설
129,111870,KH 전자
130,033180,KH 필룩스
131,060720,KH바텍
132,001940,KISCO홀딩스
133,058400,KNN
134,114450,KPX생명과학
135,025000,KPX케미칼
136,092230,KPX홀딩스
137,000040,KR모터스
138,044450,KSS해운
139,030200,KT
140,033780,KT&G
141,058850,KTcs
142,058860,KTis
143,060370,KT서브마린
144,122450,KX
145,052900,KX하이텍
146,093050,LF
147,003550,LG
148,034220,LG디스플레이
149,051900,LG생활건강
150,051905,LG생활건강우
151,373220,LG에너지솔루션
152,003555,LG우
153,032640,LG유플러스
154,011070,LG이노텍
155,066570,LG전자
156,066575,LG전자우
157,037560,LG헬로비전
158,051910,LG화학
159,051915,LG화학우
160,079550,LIG넥스원
161,006260,LS
162,010120,LS ELECTRIC
163,000680,LS네트웍스
164,229640,LS전선아시아
165,108320,LX세미콘
166,001120,LX인터내셔널
167,108670,LX하우시스
168,108675,LX하우시스우
169,383800,LX홀딩스
170,38380K,LX홀딩스1우
